Team,Updated,Matches,possession,pass_accuracy,match_tempo,long_pass_share,ppda,shots,shots_on_target,shots_on_target_pct,xg,goals,after_crosses_shots,after_crosses_shots_on_target,after_crosses_xg,after_crosses_goals,after_setpieces_shots,after_setpieces_shots_on_target,after_setpieces_xg,after_setpieces_goals,key_passes,xa,crosses,successful_crosses,cross_left,cross_right,cross_central,final_third_dribbles,final_third_recoveries,Formation_1,Formation_1_pct,Formation_2,Formation_2_pct,Formation_3,Formation_3_pct,shots_per_match,xg_per_match,goals_per_match,crosses_per_match,successful_crosses_per_match,final_third_dribbles_per_match,final_third_recoveries_per_match,key_passes_per_match,xa_per_match,after_crosses_xg_per_match,after_setpieces_xg_per_match,cross_accuracy,finishing_delta_per_match,cross_left_share,cross_right_share,cross_central_share
Arsenal Česká Lípa,04.09.2026,7,43.19655172413793,74.84862068965518,16.110689655172415,15.575172413793103,10.257586206896551,71,22,31.0,8.88,7,9,2,1.18,0,9,0,1.17,0,37,4.679999999999999,66,25,46,14,6,22,58,4-1-4-1,45.0,3-4-2-1,27.0,4-2-3-1,15.0,10.142857142857142,1.2685714285714287,1.0,9.428571428571429,3.5714285714285716,3.142857142857143,8.285714285714286,5.285714285714286,0.6685714285714284,0.16857142857142857,0.16714285714285712,37.878787878787875,-0.2685714285714287,69.6969696969697,21.21212121212121,9.090909090909092
Baník Ostrava II,06.09.2026,7,50.92677419354839,80.86333333333333,16.479354838709675,9.606881720430108,11.33451612903226,125,49,39.2,15.09,12,15,8,2.38,4,14,3,1.2,0,64,8.0,101,34,0,47,54,54,76,4-2-3-1,45.0,4-4-2,28.0,4-4-1-1,10.0,17.857142857142858,2.1557142857142857,1.7142857142857142,14.428571428571429,4.857142857142857,7.714285714285714,10.857142857142858,9.142857142857142,1.1428571428571428,0.33999999999999997,0.17142857142857143,33.663366336633665,-0.4414285714285714,0.0,46.53465346534654,53.46534653465346
Dukla Praha,05.09.2026,7,51.29693181818181,78.5603409090909,17.223522727272726,10.516022727272727,8.938522727272728,82,29,35.4,10.75,11,12,3,2.3,2,15,3,2.56,1,45,6.219999999999998,65,18,11,44,10,28,61,4-2-3-1,63.0,4-1-4-1,14.0,3-4-2-1,11.0,11.714285714285714,1.5357142857142858,1.5714285714285714,9.285714285714286,2.5714285714285716,4.0,8.714285714285714,6.428571428571429,0.8885714285714282,0.32857142857142857,0.3657142857142857,27.692307692307693,0.03571428571428571,16.923076923076923,67.6923076923077,15.384615384615385
Hanácká,06.09.2026,7,51.280322580645155,78.44913978494624,16.010645161290324,13.675483870967744,10.185591397849462,68,20,29.4,6.93,4,8,1,1.43,0,11,1,1.07,0,35,4.04,60,22,19,19,22,22,48,4-2-3-1,50.0,4-4-2,29.0,4-4-1-1,14.0,9.714285714285714,0.99,0.5714285714285714,8.571428571428571,3.142857142857143,3.142857142857143,6.857142857142857,5.0,0.5771428571428572,0.20428571428571426,0.15285714285714286,36.666666666666664,-0.41857142857142854,31.666666666666668,31.666666666666668,36.666666666666664
Karviná,04.09.2026,7,55.46000000000001,79.57,16.45,12.57,9.03,110,33,30.0,14.91,13,11,3,2.03,1,17,3,2.64,1,62,7.63,117,34,10,73,34,32,67,4-2-3-1,86.0,,,,,15.714285714285714,2.13,1.8571428571428572,16.714285714285715,4.857142857142857,4.571428571428571,9.571428571428571,8.857142857142858,1.09,0.29,0.37714285714285717,29.05982905982906,-0.27285714285714285,8.547008547008547,62.39316239316239,29.05982905982906
Kladno,04.09.2026,7,51.28698924731184,81.20118279569891,15.817096774193548,12.004086021505378,12.891075268817204,79,31,39.2,10.48,8,4,3,0.56,0,12,3,1.46,1,36,5.28,78,22,49,6,23,36,45,4-2-3-1,52.0,4-4-2,31.0,4-3-3,10.0,11.285714285714286,1.497142857142857,1.1428571428571428,11.142857142857142,3.142857142857143,5.142857142857143,6.428571428571429,5.142857142857143,0.7542857142857143,0.08,0.20857142857142857,28.205128205128204,-0.35428571428571437,62.82051282051282,7.6923076923076925,29.487179487179485
Opava,05.09.2026,7,50.07909090909091,79.92022727272727,16.88090909090909,10.547727272727274,10.408636363636363,76,28,36.8,12.26,9,10,2,1.71,1,11,2,1.12,0,46,6.670000000000001,125,33,70,0,55,20,42,4-2-3-1,60.0,4-4-2,14.0,3-4-3,14.0,10.857142857142858,1.7514285714285713,1.2857142857142858,17.857142857142858,4.714285714285714,2.857142857142857,6.0,6.571428571428571,0.952857142857143,0.24428571428571427,0.16,26.4,-0.4657142857142857,56.0,0.0,44.0
Prostějov,04.09.2026,7,46.311428571428564,77.56642857142856,16.344285714285718,12.315714285714286,10.32857142857143,80,29,36.3,11.75,9,8,3,2.33,1,11,3,0.99,0,40,6.049999999999999,78,30,0,26,52,34,52,4-3-3,63.0,4-3-1-2,21.0,4-2-3-1,14.0,11.428571428571429,1.6785714285714286,1.2857142857142858,11.142857142857142,4.285714285714286,4.857142857142857,7.428571428571429,5.714285714285714,0.8642857142857141,0.33285714285714285,0.14142857142857143,38.46153846153846,-0.39285714285714285,0.0,33.333333333333336,66.66666666666667
Příbram,06.09.2026,6,49.704375,80.05499999999999,15.400625,14.02125,11.254479166666668,76,27,35.5,9.67,9,7,2,1.27,0,12,6,1.9,1,38,5.27,72,25,16,56,0,40,32,4-2-3-1,79.0,4-4-1-1,17.0,,,12.666666666666666,1.6116666666666666,1.5,12.0,4.166666666666667,6.666666666666667,5.333333333333333,6.333333333333333,0.8783333333333333,0.21166666666666667,0.31666666666666665,34.72222222222222,-0.11166666666666665,22.22222222222222,77.77777777777777,0.0
Slavia Praha II,04.09.2026,7,53.22197802197802,78.85802197802198,15.40791208791209,10.564945054945055,8.659780219780219,90,36,40.0,14.2,17,13,4,2.16,2,10,5,1.8,3,44,6.5200000000000005,71,22,21,5,45,20,66,3-5-2,41.0,3-4-2-1,34.0,3-4-1-2,16.0,12.857142857142858,2.0285714285714285,2.4285714285714284,10.142857142857142,3.142857142857143,2.857142857142857,9.428571428571429,6.285714285714286,0.9314285714285715,0.3085714285714286,0.2571428571428572,30.985915492957748,0.4000000000000001,29.577464788732396,7.042253521126761,63.38028169014085
